title_id,title,genre,author,weekdays,length,subscribers,status,rating,year,source_type,synopsis
11,Unrefined Love,ROMANCE,UJJA,THURSDAY,Short,48278,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Saat duduk di bangku SMA, hati Yeoreum pernah dihancurkan oleh cinta pertamanya, Ji Suyeong. Setelah sekian tahun berlalu, Yeoreum yang sudah berhasil move on tiba-tiba diguncang kembali oleh kehadiran Suyeong, yang membatalkan pertunangannya dengan wanita lain dan menyatakan cinta pada Yeoreum! Awalnya Yeoreum ragu, tapi pada akhirnya ia memutuskan untuk berkencan dengan Suyeong selama satu tahunâ¦ untuk balas dendam dan menyakitinya! Namun sebenarnya, perasaan Ji Suyeong padanya menyimpan rahasiaâ¦"
12,Belated Regrets,ROMANCE,"RedpeachStudio, siwoli",WEDNESDAY,Short,14064,ONGOING,2.89,2025.0,WEBTOON ORIGINALS,"Kim Jiwon dikenal sebagai perempuan âpengoleksi sampahâ karena selalu jatuh cinta pada pria yang salah. Kali ini, âsampahâ terbarunya adalah Lee Dokyeong, bosnya yang tampan, tetapi manipulatif. Suatu hari, keduanya menghabiskan malam bersama dan Jiwon berharap perasaannya bisa hilang setelah itu. Namun, semuanya justru menjadi rumit. Di antara rasa sakit dan penyesalan, Jiwon perlahan menyadari bahwa cinta yang dia pertahankan mungkin tidak seharusnya dipertahankan."
13,Breakers,FANTASY,"DDTT, JDL, Chwiryong",TUESDAY,Short,12337,ONGOING,2.95,2025.0,WEBTOON ORIGINALS,"Sesuai namanya, Joo Ingong berhasil menjadi 'tokoh utama' dalam sebuah game!
Dalam game tersebut, dia bermain sebagai Pangeran Shutra, anak ke-9 dari raja iblis. Namun, di masa genting, dia tidak berhasil menemukan tombol untuk keluar dari permainan dan berakhir pingsan di dalam game tersebut. Apakah dia harus melanjutkan kehidupannya sebagai tokoh di dalam game? Atau sebenarnya ada cara untuk keluar dari permainan tersebut?"
14,The Villainess Is a Marionette,ROMANTIC FANTASY,"manggle, Hanirim","MONDAY, WEDNESDAY",Short,66403,ONGOING,3.7,2025.0,WEBTOON ORIGINALS,"Benarkah kecantikan tidak bisa menjadi kekuatan sejati?

Kayena Hill yang dinobatkan sebagai putri tercantik di kekaisaran berakhir dikhianati oleh Regef Hill, Sang Kaisar sekaligus adiknya sendiri. Rupanya, selama ini Regef hanya memanfaatkan Kayena sebagai 'boneka'-nya demi meraih posisi kaisar!

Tidak ingin mengulang kesalahan yang sama, di kesempatan keduanya ini Kayena memutuskan untuk memanfaatkan kecantikan dan informasi yang dia ketahui dari kehidupannya di masa lalu untuk meraih kebebasan. Bisakah Kayena terlepas dari intrik kekuasaan dan pengaruh keluarga kaisar?"
15,Mia Is Back,ROMANCE,"MUMx2, Mikan_Kiwi",SUNDAY,Short,24713,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Cha Mia dan Han Taesu pernah menjadi sepasang kekasih di masa sekolah. Keduanya pribadi yang tenang dan penyendiri, hingga mereka selalu bersama di perpusatakaan dan berbagi kasih dalam diam di mata publik.
Namun cinta mereka harus kandas setelah Mia pergi tanpa sepatah kata apa pun, hingga Taesu harus mengubur perasaannya dan bangkit dengan menjadi seseorang yang ""perhitungan"".
Di saat hidup Taesu berjalan secara monoton, Mia kembali hadir dalam hidupnya dengan penampilan yang jauh berbeda.
Tak hanya itu yang mengejutkannya, tapi juga pernyataan Mia, ""Ayo kita hidup dengan pura-pura saling tidak mengenal."""
16,Don'T Breathe,THRILLER,"DrawingChanggo, Rince",SATURDAY,Short,10599,ONGOING,3.85,2025.0,WEBTOON ORIGINALS,"Kang Suyoung, seorang atlet renang yang harus mengubur masa depannya yang masih panjang karene kecelakaan mendapatkan liburan di kapal pesiar gratis berkat sang adik. Liburan itu terasa aneh sejak adanya para elit yang mulai batuk-batuk karena efek samping dari vaksin.
Siapa sangka, ternyata efek sampingnya tak hanya sampai situ, tapi juga mengubah para manusia itu menjadi monster.
Sebenarnya apa yang terjadi? Apa yang harus dilakukan saat para monster ini mengejar?!"
17,Office Romance Contract,ROMANCE,"WOOL, MUTAK",FRIDAY,Short,26789,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Seoyoon adalah seorang wanita yang mendambakan rupa indah. Bahkan jika harus memilih, ia akan memilih orang rupawan dibandingkan uang sejumlah 10 miliar.
Karena bekerja sebagai asisten seorang bos besar, suatu hari ia mendapatkan telepon bahwa sang bos mabuk berat. Siapa sangka hari itu membuat dirinya bisa menyambut mimpi siang bolongnya untuk berpacaran dengan seorang pria tampan rupawan?"
18,Moonrise by the Cliff,ROMANTIC FANTASY,"JYL, Hyeon Minye",THURSDAY,Short,13014,ONGOING,3.4,2025.0,WEBTOON ORIGINALS,"Samwol adalah gadis miskin yang menyamar menjadi laki-laki penjaga demi menggantikan sang ayah yang sakit dan tak lagi mampu bekerja. Samwol menjadi penjaga mantan raja yang diasingkan, yakni Hwan. Bagi banyak orang, Hwan adalah sosok raja tercela yang pantas dilupakan. 

Namun, bagi Samwol, dia hanyalah pria kesepian dan hangat. Dari percakapan sederhana di tepi tebing, keduanya perlahan saling membuka hati. Akankah cinta yang tumbuh di tempat terlarang itu membawa kebahagiaanâ¦?"
19,Love Me More,ROMANCE,Kim Injung,WEDNESDAY,Short,7574,ONGOING,2.7,2025.0,WEBTOON ORIGINALS,"Walau dianugerahi dengan paras yang cantik, Lee Bom kerap merasakan kekosongan dalam hatinya. Dia berusaha mengisinya dengan perhatian dan cinta dari orang-orang di sekitarnya, tetapi dirinya masih belum puas. Hingga suatu hari, dia kembali bertemu dengan Seo Jaehyeon, pria yang dia temui saat kabur dari rumah. Di saat yang sama, Bom juga sedang dijodohkan dengan Kwon Wooil, pria dari keluarga konglomerat yang dipilih oleh ibunya. Kepada siapakah hati Bom akhirnya terpaut? Apakah salah satu dari dua pria itu yang akan mengisi kekosongan dalam dirinya?"
20,Awakening Evil,ACTION,Kim San,TUESDAY,Short,12123,ONGOING,3.15,2025.0,WEBTOON ORIGINALS,"Selama 19 tahun, Han San hidup dan dibesarkan di sebuah kuil milik sekte sesat yang bersekongkol dengan geng mafia. Suatu hari, hidupnya hancur ketika kakak perempuannya disakiti oleh geng tersebut karena gagal melahirkan seorang anak yang disebut âperantara dewaâ, kekuatan mistis yang diyakini dimiliki oleh Han San dan kakaknya.
Peristiwa itu membangkitkan âiblisâ di dalam diri Han San, iblis dengan kekuatan besar yang begitu dahsyat hingga sulit ia kendalikan sendiri. Namun, Han San bertekad menggunakan kekuatan itu untuk membalas dendam kepada sekte dan geng mafia yang telah membuat hidupnya menderita selama ini!"
21,"What a Bountiful Harvest, Demon Lord!",FANTASY,"Yeo kanghyun, Lee hyunmin, BK_Moon",MONDAY,Short,19641,ONGOING,3.8,2025.0,WEBTOON ORIGINALS,"Ketika Kim Jangcheol, mahasiswa jurusan pertanian yang malang, mulai memainkan MMORPG fantasi âPaladins of Bloodâ untuk melepas penat, ia tak pernah membayangkan akan berakhir di dalam game tersebut, apalagi menjadi bos terakhirnya, Raja Iblis Credos! Kalau ia menginvasi dunia manusia, ia akan mati di tangan sang karakter utama. Tapi jika menyerah, ia akan dibunuh oleh Empat Jenderal Besar. Maju kena, mundur pun kenaâ¦ lantas apa yang harus dia lakukan untuk menaklukkan hati para bawahannya? Mungkin bercocok tanam jawabannya!"
22,Gourmet Gaming,FANTASY,"COGE, Park Mingyu",SUNDAY,Short,21597,ONGOING,3.5,2025.0,WEBTOON ORIGINALS,"Kang Minhyuk, seorang anak dokter yang hidup tanpa kekurangan dalam hidup dan dirinya, termasuk... berat badannya yang terus bertambah.
Minhyuk adalah seorang penderita penyakit langka bulimia, di mana dia tidak bisa merasakan rasa kenyang meski sudah makan terus menerus.
Sang dokter yang menanganinya menyarankan game VR Athenae yang sedang marak saat ini, di mana pemainnya bisa merasakan sensasi dan cita rasa makanan pada game itu saat memainkannya.
Bisakah game ini menjadi cara terakhir untuk menangani penyakit Minhyuk?"
23,"Thus, I Married the Monster Twice",ROMANTIC FANTASY,"redgru, moseoli, Sung Hyerim",SATURDAY,Short,40212,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Dianne yang berpikir dengan membuka tali kekang Giscar akan menyelamatkannya, ternyata pilihannya itu menjadi bumerang pada kehidupannya dan keluarganya.
Giscar kembali setelah memenangkan perang dan membunuh seluruh keluarganya. Tak hanya itu, dia juga membelenggu Dianne dan menyiksanya tiap malam hingga ia tak tahan lagi dengan kehidupannya yang seperti neraka.
Bermaksud menyudahi belenggu itu dengan mengakhiri hidupnya, ternyata Dianne malah terbangun dengan kehadiran Giscar kecil. Sebenarnya apa yang terjadi?!"
24,Cintaku Rahasia Umum,SLICE OF LIFE,_Daebvinci_,"MONDAY, THURSDAY",Short,5553,ONGOING,3.27,2025.0,WEBTOON ORIGINALS,"Elleanor adalah siswi teladan yang hanya tertarik dengan belajar. Namun setelah bertemu dengan Nyle, ketertarikannya perlahan mulai berubah. Elleanor selalu menyangkal perasaannya, tetapi semua orang di sekitarnya sebenarnya sudah tau kalau Elleanor dan Nyle itu..."
25,Convenience Romance,ROMANCE,maghfirare,FRIDAY,Short,67212,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Dara, seorang gadis yang hanya memimpikan kuliah dan hidup yang stabil, âkaburâ dari perjodohan yang diatur keluarganya dengan bekerja sebagai kasir minimarket. Siapa sangka, bahwa bekerja di toko kecil di pinggiran kota itu mengakibatkan perubahan besar di hidupnya?"
26,How to Satisfy the Devil,ROMANTIC FANTASY,"Antstudio, rillstudio, babybird, yusoy","MONDAY, WEDNESDAY, SATURDAY",Short,44462,ONGOING,2.95,2025.0,WEBTOON ORIGINALS,"Vanessa Blake telah bereinkarnasi 28 kali dan selalu mengingat setiap kehidupan serta kematiannya. Di kehidupan ke-29, mimpi buruk terus menghantuinya hingga suatu hari iblis muncul dan menawarkan perjanjian untuk menghapusnya. 

Namun, iblis itu menghilang tanpa jejak dan meninggalkan Vanessa dalam kebingungan. Bertahun-tahun kemudian, Vanessa terpaksa ke istana untuk menjadi salah satu calon istri Grand Duke Isaac, pria yang ternyata dirasuki oleh iblis yang pernah menolong Vanessa saat dia masih kecil dulu."
27,How to Survive as a Maid in a Horror Game,ROMANTIC FANTASY,"SINcere, SUCH, KD, KimYomYum",TUESDAY,Short,24916,ONGOING,3.7,2025.0,WEBTOON ORIGINALS,"âThe Murderer of Count Pfaltzgraffâ adalah game horor baru yang ramai dihujat karena memiliki tingkat kesulitan yang sangat tinggi. Gara-gara iblis yang terperangkap dalam tubuh lemahnya, tokoh utama game tersebut yang bernama Adrian harus membunuh tanpa henti. Jika masuk ke dalam game horor dan merasuki tubuh Adrian, tugasmu sudah jelas kan? Namun apa yang terjadi kalau kamu malah terbangun sebagai tokoh tidak penting: seorang pelayan yang bahkan menjadi salah satu dari sekian banyak calon korban yang bisa terbunuh! Mampukah kamu bertahan hidup? "
28,Killer Looks,ACTION,Melonppoy,WEDNESDAY,Short,19038,ONGOING,2.8,2025.0,WEBTOON ORIGINALS,"Jin sudah dilatih untuk menjadi killer sejak kecil. Dengan kemampuannya yang unggul dalam bertarung, persentase keberhasilannya dalam menjalankan tugas pun mencapai 100%. Namun, dia punya satu kekurangan, yaitu wajahnya yang buruk rupa.

Suatu hari, dia dikirim ke Korea untuk menyingkirkan seorang pengkhianat. Tetapi tugasnya tidak berjalan baik hingga dia berakhir tak sadarkan diri. Begitu sadar, wajahnya sudah berubah drastis berkat seorang dokter bedah plastik yang disebutnya 'Dewa Dokter'.

Dewa Dokter hanya meminta satu hal pada Jin, yakni membalaskan dendam anaknya yang mati karena ulah seseorang di sekolah. Jin pun masuk sekolah dengan identitas Jang Sejin demi menguak rahasia kematian Jang Sejin yang asli. Selain itu, dia juga harus berhadapan dengan rahasia kelam Rothschild, organisasi killer yang menaunginya."
29,The Cleaner,ACTION,ZorongE,SUNDAY,Short,14784,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Jin Yisu kehilangan kedua orang tuanya yang dibunuh oleh organisasi kriminal yang korup. Demi membalas dendam, dia pun menginjakkan kakinya ke dunia gelap dan memulai perjuangan melawan organisasi kriminal yang telah merenggut segalanya darinya. Bisakah dia 'membersihkan' dunia ini dari kejahatan?"
30,"I'M a Villainess, but I Won'T Live Like One",ROMANTIC FANTASY,"Studio wooridle, Hwang DoTol",SATURDAY,Short,61543,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Bianca hanyalah seorang wanita bangsawan biasa dengan impian sederhana: menikah dengan seorang bangsawan dan menikmati hidup mewah. Namun, segalanya berubah ketika ia menemukan sebuah buku yang menggambarkannya sebagai antagonisâ¦ antagonis yang menghalangi kisah cinta tunangannya dengan seorang gadis jelata! Saat Bianca menyadari bahwa buku itu menggambarkan nasibnya secara akurat, ia menolak untuk menerima takdir tragis tersebut. Bisakah ia menulis ulang kisahnya?"
31,Part-Time Couple,ROMANCE,"Sancha, CHOI YEON",FRIDAY,Short,43656,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Menikah selama 100 hari, lalu bercerai?!

Park Dain tidak pernah menyangka kontrak semacam itu akan diajukan oleh mantan kekasihnya, Kang Seojun yang kini menjadi atasannya. Terlebih lagi, tujuannya adalah demi memperpanjang hidup sang mantan. Namun, karena kondisi keluarga dan ekonominya, Park Dain terpaksa menyetujui kontrak tersebut. Akankah kontrak pernikahan sementara ini menjadi faktor penentu masa depan mereka selamanya?"
32,The S-Class Hunter'S Peaceful Life with Monsters,FANTASY,"Sonido, Team the JICK, Dagi205",FRIDAY,Short,22553,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"""Nomor 17"" adalah Chimera Hunter Level S yang tubuhnya ditanam dengan 527 jenis sel monster. Selama ini, dia hidup tanpa nama dan hanya digunakan sebagai senjata untuk melawan monster. Hingga suatu hari, dia dikhianati oleh tempat eksperimennya dan tewas di Dunia Iblis. 

Namun, secara tak terduga, dia hidup kembali sebagai manusia. Memulai hidup baru dengan nama Cheon Dowoon, dia bertekad menjalani hari-harinya dengan tenang di Dunia Iblis. Tetapi, kenapa selalu saja ada monster yang mendatanginya?!"
33,Bisikan Dari Kegelapan,HORROR,Various Artists,"MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY",Short,18129,COMPLETED,5.0,2025.0,WEBTOON ORIGINALS,Sekumpulan kisah horor karya author lokal yang akan menghantuimu semalaman. Mampukah kamu membacanya sampai akhir?
34,Love Was Cruel,ROMANCE,"RONA, RAKO, Son Yua",MONDAY,Short,88438,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Kang Jaeha dan Shin Yewon adalah senior dan junior dari kampus yang sama, yang sempat menghabiskan malam mesra bersama. Tak sampai satu hari, 7 tahun lalu, sesingkat itu kehangatan kebersamaannya. Lalu keduanya terpisah dan bertemu lagi di suatu pertemuan perusahaan.
Tak seperti Jaeha, saat itu Yewon malah bersikap seperti tak mengenalnya dan mengatakan bahwa dirinya sudah memiliki suami dan anak saat Jaeha menyapanya dan ingin dekat dengannya lagi. Sebenarnya kenapa takdir mempertemukan mereka kembali?"
35,Kidnapping Mademoiselle,ROMANTIC FANTASY,"Mani, Joy, CHACHA KIM","WEDNESDAY, FRIDAY, SUNDAY",Short,26087,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Regnier Cavalier adalah seorang bangsawan tampan yang terpaksa menanggung utang besar akibat tiga generasi yang hidup berfoya-foya. Suatu hari, temannya memberinya ide yang di luar nalar: menculik dan menikahi wanita paling jelek di ibu kota, Henriette Cortez, putri keluarga kaya yang baru saja mewarisi harta dari mendiang ayahnya.

Regnier awalnya menolak keras, tapi ide itu malah terlaksana karena dirinya dalam keadaan mabuk. Anehnya, Henriette malah tersenyum cerah keesokan harinya, seolah dia bukan korban penculikan. Ternyata, Henriette sendiri pun sangat membutuhkan pernikahan ini untuk kabur dari kehidupannya yang malang!

Dari situlah dimulai kisah romansa yang unik antara si pria tertampan dan si wanita terjelek di ibu kota kerajaan."
36,Dangerous Delusion,ROMANCE,"RedpeachStudio, CblossomA",SATURDAY,Short,61771,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Yoo Eunji, yang kini dikenal sebagai Shim Eunji, merupakan seorang pianis yang dulu berjaya dan memenangkan banyak kompetisi namun kini menghilang. Orang-orang menyebutnya 'Seorang Pianis yang Kehilangan Sayapnya', nama Eunji redup setelah kabar percobaan bunuh dirinya
Seolah dijual oleh sang ibu, Eunji harus berusaha menggoda Seo Kangwoo, Direktur Utama HC Holdings, yang dikenal tak tergapai oleh para wanita.
Takdir seperti mempertemukan mereka, ternyata pertemuan keduanya berawal sejak keduanya masih sekolah. Kini mereka bertemu lagi dalam pertemuan ""dewasa"".
Pertemuan seperti apa yang menyatukan mereka di usia dewasa ini?"
37,Prison Guard Zero,ACTION,"rok, moveingjun",THURSDAY,Short,23546,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Han Jihoon, seorang mantan anggota pasukan khusus militer, mendapati adik perempuannya dibunuh setelah ia pulang dari tugas militernya. Hal yang lebih mengejutkan lagi, tersangka utama dalam kasus pembunuhan itu adalah tunangan adiknya sendiri, Seo Minjoon. Situasi semakin rumit ketika Seo Minjoon justru ikut terbunuh saat sedang ditahan di Penjara Yeokseon. Untuk mengungkap kebenaran di balik peristiwa itu, Han Jihoon pun menyusup ke Penjara Yeokseon dan bekerja sebagai kepala keamanan di sana. Mampukah Jihoon mengungkap misteri di balik kematian adiknya dan para penghuni penjara tersebut?"
38,"I'M Fine, Thank You, and You?",ROMANCE,LEE Lightning,SUNDAY,Short,15509,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Dua orang sahabat sejak lahir, Kang Taepyung dan Gyeoul sudah bersama bahkan saat mandi karena kedekatan orang tua mereka. Persahabatan mereka membuat banyak orang menanyakan hal yang sama tiap kali bertemu mereka, yaitu ""Kalian pacaran, ya?""
Tak pernah terpikir bahwa mereka akan saling menyayangi secara romantis, mungkin sampai hari ""itu"" tiba...?"
39,I'Ll Be Anything You Desire,ROMANTIC FANTASY,"AuRoRa Studio, Kim So Hyeon, Suon, Baekmyo",TUESDAY,Short,27361,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Setelah seluruh keluarganya dibunuh oleh tunangan dan sahabatnya sendiri, Roxiana hanya ingin mengakhiri hidupnya dan menyusul ayah, ibu beserta saudara-saudaranya. Namun, takdir membawanya ke hadapan Floyd Latean, Grand Duke Torkan yang dijuluki Harimau Merah Pembasmi Monster. Alih-alih memerlakukan Roxiana sebagai budak, Floyd berusaha keras untuk menumbuhkan semangat hidup putri yang pernah ditemuinya saat kecil dulu. Apa tindakan Floyd hanya sekadar bentuk balas budi? Atau ada hal lain yang membuatnya ingin gadis tersebut tetap hidup?"
40,Spirit Fingers: Klub Pelangit,DRAMA,"moera_ara, kyoungchal han, dibadibadoodles",MONDAY,Short,49454,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Spirit Fingers yang dicintai banyak pembaca kini hadir dalam versi lokal!
Rea Ananda menganggap dirinya sebagai gadis abu-abu dengan hidup yang biasa-biasa saja. Saat dia bertemu dengan orang-orang yang tergabung dalam sebuah klub menggambar Spirit Fingers... hidupnya perlahan menjadi berwarna! Akankah Rea menemukan warnanya sendiri?"
41,One Portion of Youth,ROMANCE,"KYMA, BOM SOHEE",SUNDAY,Short,17758,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Di era gempuran hotel-hotel ciamik, keluarga Min Hari menjalankan sebuah guesthouse yang bisa bertahan berkat masakannya yang terkenal lezat. Masalah datang ketika orang tuanya pergi berlibur dan meninggalkan Hari sendirian. Selain mengelola guesthouse, Hari juga harus memasak untuk tamu-tamu yang singgah, namun satu-satunya hal yang bisa hari masak adalahâ¦ mi instan! Saat reputasi guesthouse-nya terancam, Hari akhirnya mencari seorang bibi dapur, tapi yang datang melamar kok malah seorang pria?!"
42,Doctor Quest,FANTASY,"nifuni, Kokeshima Kaseki, Morisaki Hiroki",SATURDAY,Short,10804,ONGOING,5.0,2025.0,WEBTOON ORIGINALS,"Terlahir sebagai anak dari Direktur Rumah Sakit, Shindo Makito seharusnya menjalani hidup dengan baik. Namun, akibat ulah licik Profesor Ozawa Soji, dia berakhir kehilangan segalanya.

Tepat di saat dia mengira hidupnya sudah tamat, sebuah layar muncul dan menawarkan pilihan untuk mendapatkan kembali semua hal yang hilang darinya. Makito pun kembali ke beberapa tahun lalu dengan kekuatan spesial. Bisakah dia memperbaiki semua kesalahannya dan membalaskan dendamnya?"
